habitatID,habitatLevel,habitatType,habitatDetails
B2.31,4,Baltic sea kale communities,"Perennial communities of the shingle beaches and bars of the southern Baltic, east to Mecklenburg, where they are represented by fragmentary, endangered formations, of the Swedish, Finnish and Estonian coasts and islands of the Öland-Gotland basin, of the coasts of the Kattegat, the Oresund and the Baelts, dominated by [Crambe maritima], with [Leymus arenarius] ([Elymus arenarius]), [Euphorbia palustris], [Honkenya peploides], [Angelica archangelica ssp. litoralis], [Atriplex] spp., [Beta vulgaris ssp. maritima], [Elymus repens], [Geranium robertiana ssp. rubricaule], [Glaucium flavum], [Isatis tinctoria], [Ligusticum scoticum], [Mertensia maritima], [Silene vulgaris ssp. maritima] ([Silene uniflora]), [Tripleurospermum maritimum], [Valeriana salina]."
B2.32,4,Channel sea kale communities,"Perennial communities of the shingle beaches and bars of the southern North Sea and Channel coasts of southeastern England and, very locally, the Channel coast of France, dominated by [Crambe maritima], with [Lathyrus japonicus] and [Honkenya peploides]."
B2.33,4,Atlantic sea kale communities,"Perennial communities of the shingle beaches and bars of Brittany, the Cotentin peninsula and Anglesey, dominated by [Crambe maritima], with [Crithmum maritimum] and a sparse representation of other nitrophiles, in particular, [Beta vulgaris ssp. maritima], [Matricaria maritima], [Rumex crispus], [Glaucium flavum], [Solanum dulcamara var. maritima], [Sonchus oleraceus], [Galium aparine]."
B2.34,4,Gravelly beach and shingle pioneer communities,"Gravelly beaches can host pioneer communities of the class [Ammophiletea] consisting mainly of geophytes and hemicryptophytes, e.g. the association [Agropyro juncei-Sporoboletum pungentis] and the alliance [Medicagini marinae-Triplachnion nitensis]. They may sporadically be inundated by sea water during storms."
B2.4,3,"Fixed shingle beaches, with herbaceous vegetation","Vegetated landward expanses of large coastal shingle banks, dominated by grasses or with other herbaceous vegetation."
B2.41,4,Euro-Siberian gravel bank grasslands,"Dense perennial grasslands of boreal and nemoral coastal gravel banks of the Palaearctic region, in particular, swards of [Arrhenatherum elatius] of large Channel gravel banks."
B2.5,3,Shingle and gravel beaches with scrub,Coastal gravel banks with scrub. Included are dense thermo-mediterranean scrub on gravel banks beside the Mediterranean and heaths on shingle in the nemoral zone.
B2.51,4,Euro-Siberian gravel bank heaths,"Low heaths of boreal and nemoral coastal gravel banks of the Palaearctic region, in particular, prostrate [Cytisus scoparius] formations of large Channel gravel banks."
B2.6,3,Shingle and gravel beach woodland,"Coastal gravel banks, colonised by woodland or riparian thickets, in particular, Mediterranean gravel banks colonized by [Quercus ilex] low woods, by [Tamarix africana] or [Vitex agnus-castus]."
B3,2,"Rock cliffs, ledges and shores, including the supralittoral","Rock exposures adjacent to the oceans, their connected seas and associated coastal lagoons, or separated from them by a narrow shoreline. The faces, ledges and caves of sea-cliffs and the expanses of rocky shore are important as reproduction, resting and feeding sites for seabirds, sea-mammals and a few groups of terrestrial birds. Sea-cliffs may also harbour highly distinctive, specialised salt-tolerant vegetation with associated terrestrial fauna."
B3.1,3,Supralittoral rock (lichen or splash zone),"Cliffs and rocks of the supralittoral spray zone, mostly occupied by lichens such as [Caloplaca] spp. and [Verrucaria] spp."
B3.11,4,Lichens or small green algae on supralittoral and littoral fringe rock,"Lichen communities typically form a distinct zone or band in a 'splash' zone on most rocky shores. This splash zone occurs above the main intertidal zone (i.e. that subject to regular covering by the tide) and blends into angiosperm-dominated communities of coastal (terrestrial) habitats at its upper limits. The width of the splash zone varies considerably, depending on the degree of exposure of the shore to wave action. On very exposed coasts the zone is very wide, extending 10s of meters up cliffs, whilst in very sheltered sites it may be only a metre or so high. Several biotopes have been identified. Yellow and grey lichens such as [Xanthoria parietina], [Caloplaca marina], [Caloplaca thallincola] or [Ramalina] sp. dominate the supralittoral rock (B3.111) with the distinctive black band of [Verrucaria maura] occurring below in the littoral fringe (B3.1131, B3.1132). Small green seaweeds can sometimes be found in this splash zone, where localised conditions allow growth in what would otherwise be inhospitable conditions for seaweeds. Such an example is the green seaweed [Prasiola stipitata] which occurs in areas of nitrate enrichment from nearby roosting seabirds (B3.112). The littoral fringe on soft rock can be characterised by the green seaweed [Blidingia minima] (B3.114) while steep and vertical rock influenced by freshwater in the littoral fringe can be dominated by the green seaweeds [Ulothrix flacca], [Urospora penicilliformis] and [Urospora wormskioldii] (B3.115). The winkle [Littorina saxatilis] is one of the few 'marine' species found in this environment.
Situation: This habitat type is found in the littoral fringe and the supralittoral zone on all rocky shores if there is sufficient seawater spray to maintain a viable community."
B3.111,5,Yellow and grey lichens on supralittoral rock,"Vertical to gently sloping bedrock and stable boulders in the supralittoral (or splash zone) of the majority of rocky shores are typically characterised by a diverse maritime community of yellow and grey lichens, such as [Xanthoria parietina], [Caloplaca marina], [Lecanora atra] and [Ramalina] spp. The black lichen [Verrucaria maura] is also present, but usually in lower abundance than in the littoral fringe zone. In wave exposed conditions, where the effects of sea-spray extend further up the shore, the lichens generally form a wide and distinct band. This band then becomes less distinct as wave exposure decreases, and in sheltered locations, cobbles and pebbles may also support the biotope. Pools, damp pits and crevices in the rock are occasionally occupied by winkles such as [Littorina saxatilis] and halacarid mites may also be present.
Situation: This biotope is usually found at the top of the shore, immediately above a zone of the black lichen [V. maura] (B3.1131, B3.1132). Above the band of B3.111, and occasionally in crevices in the rock alongside the lichens, terrestrial plants such as the thrift [Armeria maritima] and other angiosperms often occur. In sheltered areas the transition from B3.111 to B3.1132 is often indistinct and a mixed zone of B3.111 and B3.1132 may occur. In estuaries, this biotope is often restricted to artificial substrata such as sea defences."
B3.112,5,[Prasiola stipitata] on nitrate-enriched supralittoral or littoral fringe rock,"Exposed to moderately exposed bedrock and large boulders in the supralittoral and littoral fringe that receives nitrate enrichment from nearby roosting sea birds and is characterised by a band or patches of the ephemeral tufty green seaweed [Prasiola stipitata] or [Prasiola] spp. This typically grows over the black lichen [Verrucaria maura] in the littoral fringe or yellow and grey lichens in the supralittoral zone. In damp pits and crevices, species such as the winkle [Littorina saxatilis], amphipods and halacarid mites are occasionally found. B3.112 often covers a smaller area than 5m x 5m and care should be taken to notice/record this biotope. The biotope can be associated with artificial substrata such as septic tanks, and in supralittoral areas influenced by sewage seeps or agricultural run-off.
Situation: This biotope is found at the top of rocky shores in the splash zone below colonies of nesting or roosting birds growing. B3.112 may also be found at the entrances to and on the ceilings of littoral caves or in patches on large boulders, where birds may be roosting. It can be found in the B3.111 or B3.1132 zones.
Temporal variation: [P. stipitata] reaches its maximum abundance during the winter months. It generally dies out during the summer in southern Britain, when the biotope reverts to either B3.111 or B3.1132. In the cooler northern areas it may be present all year round."
B3.113,5,[Verrucaria maura] on littoral fringe rock,"Bedrock or stable boulders and cobbles in the littoral fringe which is covered by the black lichen [Verrucaria maura]. This lichen typically covers the entire rock surface giving a distinct black band in the upper littoral fringe. The winkle [Littorina saxatilis] is usually present. Two variants are defined which both occur in a wide range of wave exposures. On exposed shores [V. maura] may occur with sparse barnacles such as [Chthamalus] spp. or [Semibalanus balanoides] and may be covered by a band of ephemeral seaweeds such as [Porphyra umbilicalis] or [Enteromorpha] spp. (B3.1131). Above B3.1131 or on more sheltered shores is a species poor community consisting mainly of [V. maura] and [L. saxatilis] (B3.1132).
Situation: This biotope occurs below the yellow and grey lichen zone (B3.111) and above eulittoral communities of barnacles and fuciod algae.
Temporal variation: Distinct band of red or green ephemeral algae may obscure the black lichen band at certain times of the year."
B3.1131,6,[Verrucaria maura] and sparse barnacles on exposed littoral fringe rock,"The littoral fringe of very exposed to moderately exposed rocky shores with a sparse covering of the barnacles [Semibalanus balanoides] and/or [Chthamalus montagui] over the black lichen [Verrucaria maura]. Winkles [Littorina saxatilis] and [Melarhaphe neritoides] are usually present although [M. neritoides] tends to be found on more exposed shores. The limpet [Patella vulgata] is often present though at a low abundance (Occasional). This biotope can be dominated by ephemeral seaweeds including the red seaweed [Porphyra umbilicalis], the green seaweeds [Enteromorpha] spp. or, particulary in the north, microscopic blue-green algae (Cyanophyceae), which overgrow [V. maura]. The wrack [Pelvetia canaliculata] (Rare) may also be present, becoming increasingly more common with greater shelter (see A1.211). Geographical variation: On northern and eastern shores the barnacle is usually [S. balanoides], which is normally restricted to the lower littoral fringe, with a band of [V. maura] only in the upper littoral fringe. On south-west and western shores the barnacle is usually [C. montagui] which may extend over the whole of the littoral fringe zone.
Situation: B3.1131 is usually found on more exposed coasts below the [V. maura] biotope B3.1132. It is found above the mussel [Mytilus edulis] and barnacles biotope (A1.111) or above the barnacle and [Patella] spp. zone (A1.1121; A1.113). B3.1131 also occurs on vertical faces of moderately exposed shores where the [P]. [canaliculata] biotope (A1.211) usually dominates on non-vertical faces.
Temporal variation: The abundance of [P. umbilicalis] shows considerable seasonal and geographical variation. During warm weather [P. umbilicalis] is often bleached light brown and sticks to the rock as it dries out. On southern shores it may be absent during the summer on all but the most exposed shores, as it dies back leaving a barnacle and lichen dominated community. In the cooler north the [P]. [umbilicalis] covering persists throughout the year. [Porphyra linearis] can also be found in the among the [P. umbilicalis] during the late winter and spring."
B3.1132,6,[Verrucaria maura] on very exposed to very sheltered upper littoral fringe rock,"Upper littoral fringe bedrock, boulders and stable cobbles on very exposed to very sheltered shores which have a blanket covering of the black lichen [Verrucaria maura]. The winkle [Littorina saxatilis] is often present. Due to the nature of this biotope it is species poor, but occasionally a range of species may be present in low abundance. These species include the yellow lichen [Caloplaca marina] and the winkle [Melarhaphe neritoides], the barnacles [Chthamalus montagui] and [Semibalanus balanoides] or the ephemeral seaweeds [Porphyra umbilicalis] and [Enteromorpha] spp. can be present in low abundance (see B3.1131). If one or more of these species is present compare with B3.1131. On northern shores [Littorina saxatilis var. rudis] can dominate along with the occasional presence of the lichens [Verrucaria mucosa] and [Xanthoria parietina]. V. maura can be found overlying stable mud in N. Ireland sea loughs.
Situation: The black lichen zone is normally found below the yellow and grey lichen zone (B3.111). In very sheltered areas there is not always a clear transition from one zone to the next and a mixed zone of B3.111 and B3.1132 is common. The wrack [Pelvetia canaliculata] can occur on these more sheltered shores. With increasing wave exposure the two lichen zones become wider and more distinct, and B3.1132 gives way to a lichen and barnacle dominated community (B3.1131) in the lower littoral fringe.
Temporal variation: In areas with nitrate enrichment [V. maura] can be overgrown by the small green seaweed [Prasiola stipitata] (B3.112) which reaches its maximum abundance during the winter months. It generally dies out during the summer in southern Britain, reverting the biotope to B3.1132."
